DATE,daily_return
2018/9/28,0.006687944730110589
2018/10/1,0.0041769886208717286
2018/10/2,0.002554540805718463
2018/10/3,0.0029333111743171983
2018/10/4,-0.015798979
2018/10/5,-0.005262316
2018/10/8,-0.012536285
2018/10/9,-0.000745413
2018/10/10,-0.039321189
2018/10/11,-0.034002954
2018/10/12,0.03507010712201739
2018/10/15,-0.02259384
2018/10/16,0.02515833031025781
2018/10/17,0.0027171739016502096
2018/10/18,-0.010474265
2018/10/19,-0.002940141
2018/10/22,0.009324643585390114
2018/10/23,-0.007024841
2018/10/24,-0.030570708
2018/10/25,0.03172255436007076
2018/10/26,-0.027277985
2018/10/29,-0.00863682
2018/10/30,0.01582669255069329
2018/10/31,0.02549545034761593
2018/11/1,-0.001996253
2018/11/2,-0.003840432
2018/11/5,0.014302602403750623
2018/11/6,0.007879000736842322
2018/11/7,0.030116959048839455
2018/11/8,0.010802676168998987
2018/11/9,-0.027836027
2018/11/12,-0.031993248
2018/11/13,-0.010846125
2018/11/14,-0.017458766
2018/11/15,0.05362946899258576
2018/11/16,-0.00977169
2018/11/19,-0.012733294
2018/11/20,-0.028074692
2018/11/21,0.009254092997861894
2018/11/23,-0.007929449
2018/11/26,0.02316774935230757
2018/11/27,0.011746879016317189
2018/11/28,0.025310063820485233
2018/11/29,0.0009616616534035807
2018/11/30,0.011114527749127077
2018/12/3,0.018104635018508192
2018/12/4,-0.029495245
2018/12/6,0.021846337086726127
2018/12/7,-0.04119582
2018/12/10,0.009104616819029195
2018/12/11,0.004564759341807941
2018/12/12,0.0073174088877877635
2018/12/13,0.0011736555586061806
2018/12/14,-0.035355077
2018/12/17,-0.03588615
2018/12/18,-0.003515928
2018/12/19,-0.020811635
2018/12/20,-0.015278564
2018/12/21,-0.016001788
2018/12/24,-0.037302623
2018/12/26,0.0533620228577787
2018/12/27,0.010157231331135906
2018/12/28,-0.0035374
2018/12/31,0.014016187201269514
2019/1/2,-0.009700053
2019/1/3,-0.045033078
2019/1/4,0.044217939605806195
2019/1/7,0.006709012634821959
2019/1/8,0.008165409494352745
2019/1/9,-0.005597918
2019/1/10,-0.00180821
2019/1/11,0.005709979425180824
2019/1/14,-0.006351675
2019/1/15,0.01864475978733472
2019/1/16,-0.00170248
2019/1/17,0.005844211058722806
2019/1/18,0.018377926475328404
2019/1/22,-0.005001498
2019/1/23,0.01472533134496603
2019/1/24,0.0028549486834212076
2019/1/25,0.011338978880517806
2019/1/28,-0.007884912
2019/1/29,0.004283694041515621
2019/1/30,0.016137619761187643
2019/1/31,0.012019162110828865
2019/2/1,0.0015489440302195738
2019/2/4,0.00020601660566703364
2019/2/5,-0.001892948
2019/2/6,0.004654828677046996
2019/2/7,-0.016343169
2019/2/8,0.010417961580232735
2019/2/11,0.00809152655973504
2019/2/12,0.0025951782398995634
2019/2/13,-0.004691025
