date,realized_volatility,realized_kernel,H
2018-01-04,0.8723742736772976,0.9063356931631965,340
2018-01-05,0.7219177814586616,2.0740981741566014,340
2018-01-08,0.6019081353211643,0.4566572887563134,340
2018-01-09,0.43345402985250786,0.9371091679468228,340
2018-01-10,0.8327792737129507,2.187384307437621,340
2018-01-11,0.3794533315629533,0.5917127643991525,340
2018-01-12,0.7250407400258564,0.7574049484197588,340
2018-01-16,0.9545178504410099,2.148512562014235,340
2018-01-17,0.63908144685517,0.86029309315816,340
2018-01-18,0.5751597394617602,0.9971592228424723,340
2018-01-19,0.5570679917882037,0.8458489021292842,340
2018-01-22,0.5221758079358411,0.6659843546666085,340
2018-01-23,0.5737222719118028,0.6126533422038887,340
2018-01-24,0.9848979852448799,1.3927947397280447,340
2018-01-25,0.8571163806710425,0.9541970587195772,340
2018-01-26,0.5966747897933247,0.7190220869839848,340
2018-01-29,0.739489626278952,1.7171837888743602,340
2018-01-30,1.0827522597724304,1.397477519712263,340
2018-01-31,1.0674634982011115,1.9162944185096815,340
2018-02-01,1.270001098541628,1.6691630431959945,340
2018-02-02,1.449623626786281,3.0727844415271437,340
2018-02-05,6.93052518636604,10.15316632995298,340
2018-02-06,14.431006141105192,14.44684663065755,340
2018-02-07,4.215471826647115,4.842812564316726,340
2018-02-08,6.566401483496132,3.8142655164249155,340
2018-02-09,9.04466479752063,6.995093401015321,340
2018-02-12,2.7108871454134658,3.8093045632304317,340
2018-02-13,1.6576318283683302,1.768541107633667,340
2018-02-14,2.4079737530747956,3.5471920171750675,340
2018-02-15,4.4813390061410345,17.755136563398104,340
2018-02-16,1.762326759604765,3.5981250391212414,340
2018-02-20,1.2334877384357004,2.0356978852483882,340
2018-02-21,1.4386606567823934,2.134952279761978,340
2018-02-22,1.4230465251687996,1.4686491812061613,340
2018-02-23,0.8808046861943607,1.0832017801432248,340
2018-02-26,0.8636533693877122,1.4996409325866997,340
2018-02-27,1.4468488635423933,2.858906999157661,340
2018-02-28,1.1979821513615951,2.447551627093006,340
2018-03-01,3.4778644614529854,6.1717255862315135,340
2018-03-02,2.461209646383738,2.1622625484587066,340
2018-03-05,1.6129297702209295,1.94217702364565,340
2018-03-06,1.5720768133064555,1.2169318964926374,340
2018-03-07,1.3815358777195987,0.6637256110776679,340
2018-03-08,1.1169585380679996,0.5772487754405787,340
2018-03-09,0.8111780975246707,0.7924443244940834,340
2018-03-12,0.5958231168278676,1.1305383976075927,340
2018-03-13,1.2145210953624783,1.9433749787864418,340
2018-03-14,1.2135375764814254,2.5118228255049275,340
2018-03-15,0.8925729705718999,1.1845087936935215,340
2018-03-16,0.7975462842247549,1.1587834788280602,340
2018-03-19,1.3774058308383756,2.3547604126958968,340
2018-03-20,0.7879397517694471,0.7732566385387529,340
2018-03-21,1.7326763106612488,1.3880081354364207,340
2018-03-22,2.049611491723463,2.2951713519274097,340
2018-03-23,2.492811204698634,3.5667310460016175,340
2018-03-26,1.8023781604715583,2.9220280060679857,340
2018-03-27,2.423672514811697,4.883993755268044,340
2018-03-28,4.838264845114194,9.218751066504199,340
2018-03-29,1.9840986906789855,5.610547587395281,340
2018-04-02,3.4437487992957685,5.352747613197945,340
2018-04-03,2.5683811073678644,4.560871471039052,340
2018-04-04,2.153073391956445,2.916985516814185,340
2018-04-05,1.4395409459566755,2.238549229025674,340
2018-04-06,3.2226772403610036,3.4847800715551984,340
2018-04-09,1.462474104556605,2.486067275631176,340
2018-04-10,1.9319004851166612,3.6763906413477714,340
2018-04-11,1.419162122713264,1.3828052011292098,340
2018-04-12,1.2021949652813675,2.6491520377032884,340
2018-04-13,1.3214227169165291,2.366302648274259,340
2018-04-16,1.0471159442576978,1.5162946423264791,340
2018-04-17,0.8612739267610073,1.4903976210205212,340
2018-04-18,0.8538984716686163,0.9521096521594798,340
2018-04-19,1.0623165445695932,1.28125451767637,340
2018-04-20,1.2120920335314451,1.8540793696195144,340
2018-04-23,0.9875331337936857,0.8704749072171497,340
2018-04-24,1.9641871662858215,3.6621550364390285,340
2018-04-25,1.969903040410882,4.363875973160653,340
2018-04-26,1.1976233990424239,2.436834752536282,340
2018-04-27,1.4116152070467347,3.915000460927846,340
2018-04-30,1.1188976876846022,1.8058850396830113,340
2018-05-01,1.3052678777154163,2.1359034165392057,340
2018-05-02,1.4204486426323788,3.1081621691762353,340
2018-05-03,1.9522280832059613,3.194546686070225,340
2018-05-04,1.4586427256309566,1.5698856172910525,340
2018-05-07,0.7579547458873797,1.2504729253465965,340
2018-05-08,1.1466853894437388,2.278625430053861,340
2018-05-09,0.8161798588917454,1.5734620028084338,340
2018-05-10,0.7387554153985398,1.0339941402845925,340
2018-05-11,0.7184358561556572,1.1808961256540134,340
2018-05-14,0.5636913285140296,0.5927723569759055,340
2018-05-15,1.2346413293618348,0.7867530731887048,340
2018-05-16,0.7835395159154888,1.0218824430682045,340
2018-05-17,2.4602736006493466,3.575640220728338,340
2018-05-18,0.7781559655655765,1.3696536422573415,340
2018-05-21,0.6871821187476195,1.4290155296312002,340
2018-05-22,0.6280912114140949,0.95333909161922,340
2018-05-23,1.0098610464756597,1.8055090562880125,340
2018-05-24,1.2144215863371126,2.0423867020358726,340
2018-05-25,0.7303867097836005,0.973715858012649,340
2018-05-29,1.3614277917725515,1.3372452097797412,340
2018-05-30,0.5103630701647868,1.3283084514367431,340
2018-05-31,0.8218062751861843,1.2697837937409082,340
2018-06-01,0.5243069167085888,1.1388751717562056,340
2018-06-04,0.4568154428180924,1.2930255481832116,340
