date,realized_volatility,realized_kernel,H
2023-01-04,1.6618972402030527,3.0060599043899603,340
2023-01-05,1.0359731161708594,0.9976325350385039,340
2023-01-06,1.1945621301480127,2.4346373365078517,340
2023-01-09,0.7952163297592678,1.4162381990308357,340
2023-01-10,0.8888459644236946,1.2040194530342914,340
2023-01-11,0.615291280024868,0.36633133450711175,340
2023-01-12,1.1813411769810458,2.4230296000467844,340
2023-01-13,0.7240396870968239,0.6380941833832923,340
2023-01-17,0.757462873119228,1.0595225504879229,340
2023-01-18,0.820263271646408,0.9543746227004033,340
2023-01-19,0.7780771352143124,0.9834693006963816,340
2023-01-20,0.790780470597883,1.680307616155463,340
2023-01-23,0.6814083280973233,1.188453479540368,340
2023-01-24,0.9201325892569321,1.3416694015854802,340
2023-01-25,0.8790512844663475,1.4056121076626207,340
2023-01-26,0.6522747534649562,1.5077437704917231,340
2023-01-27,0.5823599810243788,0.6277724622822503,340
2023-01-30,0.624482731385958,0.8961271279337821,340
2023-01-31,0.6572701200768785,0.9340587377724912,340
2023-02-01,1.942613814890729,5.4894855321149025,340
2023-02-02,1.0584132454431179,1.4482613292039022,340
2023-02-03,1.2094751923025016,1.9560892447769205,340
2023-02-06,0.7561395292821288,0.5919526073490768,340
2023-02-07,1.4399974364934205,4.13027760365941,340
2023-02-08,0.928688846203898,1.6221042618228343,340
2023-02-09,0.9519095071120215,1.4175930463176865,340
2023-02-10,0.8629066248119337,1.074052321310093,340
2023-02-13,0.5404837051974253,0.6375466882142088,340
2023-02-14,1.287253966101362,2.1366068615460536,340
2023-02-15,1.184799775644212,0.9327347073915946,340
2023-02-16,4.500033641322215,9.293044875777468,340
2023-02-17,1.24590389188529,1.3703606141288402,340
2023-02-21,1.0320916241874354,1.6693919207662788,340
2023-02-22,1.0759816644508695,1.7562553340803813,340
2023-02-23,0.8002027055907048,1.1985383424430265,340
2023-02-24,0.8273558454140796,1.4435807713549673,340
2023-02-27,0.7050258993569054,1.4319135181462341,340
2023-02-28,0.6759519251094616,1.4044553439969316,340
2023-03-01,0.7949876335063468,0.8149786026425956,340
2023-03-02,0.7740098145080323,1.0962256399817247,340
2023-03-03,0.6554492489821093,0.6888019432779242,340
2023-03-06,0.5616494047845185,0.6291567990342821,340
2023-03-07,0.7851323849921094,1.1352522267759992,340
2023-03-08,0.8375208708012971,1.6465040787826348,340
2023-03-09,0.7997700201779198,1.1302562488581143,340
2023-03-10,1.8356448835293988,2.1451830208297973,340
2023-03-13,2.8811140552769126,3.836083712945414,340
2023-03-14,1.0606495529623543,1.7469968519082015,340
2023-03-15,1.6480561521472328,1.8094944133416786,340
2023-03-16,1.062268094404536,1.2324924391969183,340
2023-03-17,1.2620746097281483,2.82487174307331,340
2023-03-20,1.1100347690212509,1.1527186890885786,340
2023-03-21,0.7811068666592664,1.051043458483172,340
2023-03-22,1.3650678032994492,3.392259372084982,340
2023-03-23,1.200530560427377,2.3563470180690396,340
2023-03-24,1.2908771282538567,2.0988441665207755,340
2023-03-27,0.6684943238841444,0.6471545160965626,340
2023-03-28,0.509589651135598,0.4389435127736433,340
2023-03-29,0.5036533780006632,0.393159069065719,340
2023-03-30,0.5101113160123613,0.5456616721624292,340
2023-03-31,0.4657686523684179,0.7343117055637813,340
2023-04-03,0.5298035013331881,0.6202684004005701,340
2023-04-04,0.6138577531013772,0.6533558847737254,340
2023-04-05,0.621759693514666,0.748391598015929,340
2023-04-06,0.6651247309013292,0.6539517470524356,340
2023-04-10,0.458141351517178,0.5236101254687735,340
2023-04-11,0.6451092836895728,0.6023978327872698,340
2023-04-12,0.7380516751037194,0.8292180497742692,340
2023-04-13,0.5448093899765526,0.43959216039989046,340
2023-04-14,0.6457832218461295,1.1334598237529523,340
2023-04-17,0.4500345218655624,0.3487772431857091,340
2023-04-18,0.5798065718280603,0.6292717614435979,340
2023-04-19,1.3043908596115983,3.2089109365811734,340
2023-04-20,1.0357392408121155,1.6095549337208224,340
2023-04-21,0.8098791892072192,2.0180482880850623,340
2023-04-24,0.4975841384899191,0.6073539837079195,340
2023-04-25,0.5369598090520493,1.1181162442250117,340
2023-04-26,0.8492339697569068,1.0017587283008969,340
2023-04-27,0.7918306317529265,2.0799897515662833,340
2023-04-28,0.677878121870284,0.862258187069091,340
2023-05-01,0.42043284404379333,0.4642279160649421,340
2023-05-02,0.96546723787022,1.429924016249451,340
2023-05-03,1.6390085503929157,2.314742993648595,340
2023-05-04,0.9122604318122258,1.4618430278312111,340
2023-05-05,0.6228129057234684,0.7151796599807647,340
2023-05-08,0.4984267631323936,0.3595627043117634,340
2023-05-09,0.4893439652479633,0.6182495044553967,340
2023-05-10,0.8735148124964011,1.546045027526287,340
2023-05-11,0.5916300877972592,1.0175743600652136,340
2023-05-12,0.6393345503050052,0.6327249257030216,340
2023-05-15,0.48491838122785397,0.5644740851966767,340
2023-05-16,0.7812717930703592,1.4962342426519732,340
2023-05-17,1.016769039921474,0.9411910934053594,340
2023-05-18,3.7655541105431802,9.010775534460459,340
2023-05-19,1.382657449329518,1.9658865308529958,340
2023-05-22,0.8064169243549753,0.8227186954596177,340
2023-05-23,0.7623335466533626,1.0746002041942642,340
2023-05-24,0.6643816298019113,0.8369500974707765,340
2023-05-25,1.1610480997571313,2.2034678086744117,340
2023-05-26,0.7885135868340277,1.745069526016192,340
2023-05-30,0.9047432128196908,1.8337930134271099,340
2023-05-31,0.933161764149872,0.8528589860208037,340
2023-06-01,0.696637882045647,1.7514345207374997,340
2023-06-02,0.7161069962243791,0.9024616622363055,340
